unit_id,timestamp,period,sensor,value,fail,severity,rules
U0005,2008-07-19 15:22:00,train,sensor_103,-0.0045,0,warning,rule3
U0005,2008-07-19 15:22:00,train,sensor_510,148.0663,0,warning,rule3
U0006,2008-07-19 17:53:00,train,sensor_103,-0.0052,0,warning,rule3
U0006,2008-07-19 17:53:00,train,sensor_510,68.7351,0,warning,rule3
U0007,2008-07-19 19:44:00,train,sensor_028,60.8,0,warning,rule3
U0007,2008-07-19 19:44:00,train,sensor_103,-0.0042,0,warning,rule3
U0007,2008-07-19 19:44:00,train,sensor_510,159.5238,0,warning,rule3
U0008,2008-07-19 19:45:00,train,sensor_028,67.3,0,warning,"rule3, rule4"
U0008,2008-07-19 19:45:00,train,sensor_059,29.1309,0,alarm,rule2
U0008,2008-07-19 19:45:00,train,sensor_103,-0.0057,0,warning,"rule3, rule4"
U0008,2008-07-19 19:45:00,train,sensor_510,79.1209,0,warning,"rule3, rule4"
U0009,2008-07-19 20:24:00,train,sensor_028,62.8,0,warning,"rule3, rule4"
U0009,2008-07-19 20:24:00,train,sensor_103,-0.0048,0,warning,"rule3, rule4"
U0009,2008-07-19 20:24:00,train,sensor_510,138.5827,0,warning,"rule3, rule4"
U0010,2008-07-19 21:35:00,train,sensor_028,67.0333,0,warning,rule4
U0010,2008-07-19 21:35:00,train,sensor_059,28.3118,0,alarm,"rule2, rule3"
U0010,2008-07-19 21:35:00,train,sensor_103,-0.0073,0,warning,"rule3, rule4"
U0010,2008-07-19 21:35:00,train,sensor_510,86.0068,0,warning,"rule3, rule4"
U0011,2008-07-19 21:57:00,train,sensor_021,-2727.5,1,alarm,rule2
U0011,2008-07-19 21:57:00,train,sensor_059,27.8373,1,alarm,"rule2, rule3"
U0011,2008-07-19 21:57:00,train,sensor_103,-0.0056,1,warning,"rule3, rule4"
U0011,2008-07-19 21:57:00,train,sensor_163,0.921,1,alarm,rule2
U0011,2008-07-19 21:57:00,train,sensor_430,207.3327,1,alarm,rule2
U0011,2008-07-19 21:57:00,train,sensor_431,210.1429,1,alarm,rule2
U0011,2008-07-19 21:57:00,train,sensor_510,87.1111,1,warning,"rule3, rule4"
U0012,2008-07-19 22:52:00,train,sensor_059,25.0836,1,alarm,"rule2, rule3"
U0012,2008-07-19 22:52:00,train,sensor_103,-0.0059,1,warning,"rule3, rule4"
U0012,2008-07-19 22:52:00,train,sensor_510,67.9406,1,warning,"rule3, rule4"
U0013,2008-07-20 03:35:00,train,sensor_059,22.6227,0,warning,"rule3, rule4"
U0013,2008-07-20 03:35:00,train,sensor_103,-0.0075,0,warning,rule4
U0013,2008-07-20 03:35:00,train,sensor_510,94.8247,0,warning,"rule3, rule4"
U0014,2008-07-21 08:21:00,train,sensor_059,-1.1927,0,warning,rule3
U0014,2008-07-21 08:21:00,train,sensor_103,-0.0047,0,warning,rule4
U0014,2008-07-21 08:21:00,train,sensor_510,55.0265,0,warning,rule4
